Registro,Nombre,Referencia de Tramite,Equivalencia Terapéutica o Biosimilar,Titular,Estado del Registro,Resolución Inscríbase,Fecha Inscríbase,Ultima Renovación,Fecha Próxima renovación,Régimen,Vía Administración,Condición de Venta,Expende tipo establecimiento,Indicación,Fecha Próxima Renovación,Procesado,,,,,
F-6341/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-6344/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-6345/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-6346/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-6342/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-21024/14,,,,,,,,,,,,,,,,FALSE,,,,,
F-21025/14,,,,,,,,,,,,,,,,FALSE,,,,,
F-6343/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-6347/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-22533/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-22534/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-454/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-451/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-452/03,,,,,,,,,,,,,,,,FALSE,,,,,
F-453/03,,,,,,,,,,,,,,,,FALSE,,,,,
F-2377/14,,,,,,,,,,,,,,,,FALSE,,,,,
F-9637/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-7308/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-16013/12,,,,,,,,,,,,,,,,FALSE,,,,,
F-16014/12,,,,,,,,,,,,,,,,FALSE,,,,,
F-16137/12,,,,,,,,,,,,,,,,FALSE,,,,,
F-20919/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-13788/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-7608/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-5512/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-24537/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-24538/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-24536/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-1518/08,,,,,,,,,,,,,,,,FALSE,,,,,
F-84/07,,,,,,,,,,,,,,,,FALSE,,,,,
F-12557/02,,,,,,,,,,,,,,,,FALSE,,,,,
F-11203/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-5290/05,,,,,,,,,,,,,,,,FALSE,,,,,
F-11233/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-13129/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-16225/17,,,,,,,,,,,,,,,,FALSE,,,,,
F-13130/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-13131/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-21566/14,,,,,,,,,,,,,,,,FALSE,,,,,
F-21567/14,,,,,,,,,,,,,,,,FALSE,,,,,
F-21568/14,,,,,,,,,,,,,,,,FALSE,,,,,
F-1316/08,,,,,,,,,,,,,,,,FALSE,,,,,
F-9504/01,,,,,,,,,,,,,,,,FALSE,,,,,
F-14697/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-9442/06,,,,,,,,,,,,,,,,FALSE,,,,,
F-9439/06,,,,,,,,,,,,,,,,FALSE,,,,,
F-9440/06,,,,,,,,,,,,,,,,FALSE,,,,,
F-9441/06,,,,,,,,,,,,,,,,FALSE,,,,,
F-17362/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-22500/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-22501/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-22502/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-22503/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-7544/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-7542/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-1534/04,,,,,,,,,,,,,,,,FALSE,,,,,
F-15819/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-15820/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-15821/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-2314/99,,,,,,,,,,,,,,,,FALSE,,,,,
F-7649/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-10883/01,,,,,,,,,,,,,,,,FALSE,,,,,
F-1770/09,,,,,,,,,,,,,,,,FALSE,,,,,
F-17330/09,,,,,,,,,,,,,,,,FALSE,,,,,
F-275/08,,,,,,,,,,,,,,,,FALSE,,,,,
F-24751/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-24750/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-16379/07,,,,,,,,,,,,,,,,FALSE,,,,,
F-16380/07,,,,,,,,,,,,,,,,FALSE,,,,,
F-17730/14,,,,,,,,,,,,,,,,FALSE,,,,,
F-17731/14,,,,,,,,,,,,,,,,FALSE,,,,,
F-21569/14,,,,,,,,,,,,,,,,FALSE,,,,,
F-21570/14,,,,,,,,,,,,,,,,FALSE,,,,,
F-20802/14,,,,,,,,,,,,,,,,FALSE,,,,,
F-5288/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-1540/09,,,,,,,,,,,,,,,,FALSE,,,,,
F-566/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-5000/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-22698/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-14203/14,,,,,,,,,,,,,,,,FALSE,,,,,
F-13106/13,,,,,,,,,,,,,,,,FALSE,,,,,
F-9444/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-14202/14,,,,,,,,,,,,,,,,FALSE,,,,,
F-22699/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-5001/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-535/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-24417/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-3491/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-3492/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-6551/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-782/98,,,,,,,,,,,,,,,,FALSE,,,,,
F-3858/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-7382/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-7381/01,,,,,,,,,,,,,,,,FALSE,,,,,
F-23531/17,,,,,,,,,,,,,,,,FALSE,,,,,
F-23532/17,,,,,,,,,,,,,,,,FALSE,,,,,
F-6705/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-6791/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-2745/04,,,,,,,,,,,,,,,,FALSE,,,,,
F-17065/08,,,,,,,,,,,,,,,,FALSE,,,,,
F-17064/08,,,,,,,,,,,,,,,,FALSE,,,,,
F-17063/08,,,,,,,,,,,,,,,,FALSE,,,,,
F-17066/08,,,,,,,,,,,,,,,,FALSE,,,,,
F-10673/06,,,,,,,,,,,,,,,,FALSE,,,,,
F-10608/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-10609/06,,,,,,,,,,,,,,,,FALSE,,,,,
F-5965/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-24542/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-14532/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-14969/05,,,,,,,,,,,,,,,,FALSE,,,,,
F-19756/13,,,,,,,,,,,,,,,,FALSE,,,,,
F-8589/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-8590/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-8587/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-19757/13,,,,,,,,,,,,,,,,FALSE,,,,,
F-19758/13,,,,,,,,,,,,,,,,FALSE,,,,,
F-8588/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-3042/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-6048/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-17973/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-18308/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-18309/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-18310/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-17744/09,,,,,,,,,,,,,,,,FALSE,,,,,
F-14441/04,,,,,,,,,,,,,,,,FALSE,,,,,
F-17966/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-1383/98,,,,,,,,,,,,,,,,FALSE,,,,,
F-645/03,,,,,,,,,,,,,,,,FALSE,,,,,
F-646/03,,,,,,,,,,,,,,,,FALSE,,,,,
F-1382/13,,,,,,,,,,,,,,,,FALSE,,,,,
F-13025/13,,,,,,,,,,,,,,,,FALSE,,,,,
F-10704/06,,,,,,,,,,,,,,,,FALSE,,,,,
F-15318/05,,,,,,,,,,,,,,,,FALSE,,,,,
F-15738/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-8048/06,,,,,,,,,,,,,,,,FALSE,,,,,
F-8046/06,,,,,,,,,,,,,,,,FALSE,,,,,
F-8049/06,,,,,,,,,,,,,,,,FALSE,,,,,
F-8045/06,,,,,,,,,,,,,,,,FALSE,,,,,
F-864/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-19036/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-19013/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-19014/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-7391/01,,,,,,,,,,,,,,,,FALSE,,,,,
F-510/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-511/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-512/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-18208/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-18209/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-18207/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-7239/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-23489/17,,,,,,,,,,,,,,,,FALSE,,,,,
F-23702/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-23701/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-18397/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-18400/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-18399/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-18398/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-19538/12,,,,,,,,,,,,,,,,FALSE,,,,,
F-12766/08,,,,,,,,,,,,,,,,FALSE,,,,,
F-8222/01,,,,,,,,,,,,,,,,FALSE,,,,,
F-8223/01,,,,,,,,,,,,,,,,FALSE,,,,,
F-335/08,,,,,,,,,,,,,,,,FALSE,,,,,
F-486/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-5029/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-5028/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-24617/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-24618/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-22413/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-21339/14,,,,,,,,,,,,,,,,FALSE,,,,,
F-2355/99,,,,,,,,,,,,,,,,FALSE,,,,,
F-2356/99,,,,,,,,,,,,,,,,FALSE,,,,,
F-17680/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-12456/12,,,,,,,,,,,,,,,,FALSE,,,,,
F-12457/12,,,,,,,,,,,,,,,,FALSE,,,,,
F-12458/12,,,,,,,,,,,,,,,,FALSE,,,,,
F-21539/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-11546/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-272/07,,,,,,,,,,,,,,,,FALSE,,,,,
F-530/08,,,,,,,,,,,,,,,,FALSE,,,,,
F-13815/04,,,,,,,,,,,,,,,,FALSE,,,,,
F-13814/04,,,,,,,,,,,,,,,,FALSE,,,,,
F-1501/12,,,,,,,,,,,,,,,,FALSE,,,,,
F-19313/17,,,,,,,,,,,,,,,,FALSE,,,,,
F-21275/14,,,,,,,,,,,,,,,,FALSE,,,,,
F-6818/05,,,,,,,,,,,,,,,,FALSE,,,,,
F-22811/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-5034/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-20906/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-20909/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-5035/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-8986/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-25111/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-22048/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-22047/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-22046/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-22662/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-22663/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-22664/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-22661/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-10044/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-10045/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-5036/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-24780/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-24781/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-24782/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-9081/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-9082/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-7081/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-7082/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-4249/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-10227/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-5488/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-2285/99,,,,,,,,,,,,,,,,FALSE,,,,,
F-3053/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-3054/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-3055/00,,,,,,,,,,,,,,,,FALSE,,,,,
N-462/13,,,,,,,,,,,,,,,,FALSE,,,,,
N-511/13,,,,,,,,,,,,,,,,FALSE,,,,,
F-18416/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-15827/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-3783/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-3781/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-3779/15,,,,,,,,,,,,,,,,FALSE,,,,,
N-51/11,,,,,,,,,,,,,,,,FALSE,,,,,
K-62/04,,,,,,,,,,,,,,,,FALSE,,,,,
F-8918/11,,,,,,,,,,,,,,,,FALSE,,,,,
K-65/04,,,,,,,,,,,,,,,,FALSE,,,,,
F-11665/11,,,,,,,,,,,,,,,,FALSE,,,,,
H-48/98,,,,,,,,,,,,,,,,FALSE,,,,,
K-44/03,,,,,,,,,,,,,,,,FALSE,,,,,
K-37/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-2779/99,,,,,,,,,,,,,,,,FALSE,,,,,
F-3727/05,,,,,,,,,,,,,,,,FALSE,,,,,
F-14769/05,,,,,,,,,,,,,,,,FALSE,,,,,
F-7614/01,,,,,,,,,,,,,,,,FALSE,,,,,
F-192/02,,,,,,,,,,,,,,,,FALSE,,,,,
H-904/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-7047/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-6667/05,,,,,,,,,,,,,,,,FALSE,,,,,
F-6405/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-4405/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-4514/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-23098/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-18681/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-3787/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-23353/17,,,,,,,,,,,,,,,,FALSE,,,,,
F-2496/04,,,,,,,,,,,,,,,,FALSE,,,,,
F-1445/98,,,,,,,,,,,,,,,,FALSE,,,,,
F-4513/05,,,,,,,,,,,,,,,,FALSE,,,,,
F-13990/04,,,,,,,,,,,,,,,,FALSE,,,,,
F-3788/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-10000/06,,,,,,,,,,,,,,,,FALSE,,,,,
F-12591/12,,,,,,,,,,,,,,,,FALSE,,,,,
F-20086/12,,,,,,,,,,,,,,,,FALSE,,,,,
F-20087/12,,,,,,,,,,,,,,,,FALSE,,,,,
F-1297/98,,,,,,,,,,,,,,,,FALSE,,,,,
F-20957/14,,,,,,,,,,,,,,,,FALSE,,,,,
F-745/08,,,,,,,,,,,,,,,,FALSE,,,,,
F-1069/98,,,,,,,,,,,,,,,,FALSE,,,,,
F-7441/06,,,,,,,,,,,,,,,,FALSE,,,,,
F-13177/13,,,,,,,,,,,,,,,,FALSE,,,,,
F-20115/13,,,,,,,,,,,,,,,,FALSE,,,,,
F-20116/13,,,,,,,,,,,,,,,,FALSE,,,,,
F-11180/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-10417/01,,,,,,,,,,,,,,,,FALSE,,,,,
F-1710/09,,,,,,,,,,,,,,,,FALSE,,,,,
F-5975/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-6668/05,,,,,,,,,,,,,,,,FALSE,,,,,
F-6365/05,,,,,,,,,,,,,,,,FALSE,,,,,
F-5718/05,,,,,,,,,,,,,,,,FALSE,,,,,
F-5883/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-9413/06,,,,,,,,,,,,,,,,FALSE,,,,,
F-7849/01,,,,,,,,,,,,,,,,FALSE,,,,,
F-3603/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-6846/05,,,,,,,,,,,,,,,,FALSE,,,,,
F-6847/05,,,,,,,,,,,,,,,,FALSE,,,,,
F-10821/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-5816/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-10822/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-2266/14,,,,,,,,,,,,,,,,FALSE,,,,,
F-11592/01,,,,,,,,,,,,,,,,FALSE,,,,,
F-1840/09,,,,,,,,,,,,,,,,FALSE,,,,,
F-1839/09,,,,,,,,,,,,,,,,FALSE,,,,,
F-6848/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-7048/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-952/98,,,,,,,,,,,,,,,,FALSE,,,,,
F-5719/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-1242/13,,,,,,,,,,,,,,,,FALSE,,,,,
F-12442/07,,,,,,,,,,,,,,,,FALSE,,,,,
F-1308/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-13904/14,,,,,,,,,,,,,,,,FALSE,,,,,
F-10418/01,,,,,,,,,,,,,,,,FALSE,,,,,
H-1014/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-2707/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-9646/01,,,,,,,,,,,,,,,,FALSE,,,,,
F-13841/04,,,,,,,,,,,,,,,,FALSE,,,,,
F-6019/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-14033/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-14521/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-19157/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-16185/12,,,,,,,,,,,,,,,,FALSE,,,,,
F-10432/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-17016/13,,,,,,,,,,,,,,,,FALSE,,,,,
F-17015/13,,,,,,,,,,,,,,,,FALSE,,,,,
F-20571/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-11988/12,,,,,,,,,,,,,,,,FALSE,,,,,
F-13981/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-20572/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-16108/07,,,,,,,,,,,,,,,,FALSE,,,,,
F-16109/07,,,,,,,,,,,,,,,,FALSE,,,,,
F-1485/98,,,,,,,,,,,,,,,,FALSE,,,,,
F-25199/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-9969/11,,,,,,,,,,,,,,,,FALSE,,,,,
N-530/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-4325/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-3886/15,,,,,,,,,,,,,,,,FALSE,,,,,
N-72/16,,,,,,,,,,,,,,,,FALSE,,,,,
H-1015/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-21309/14,,,,,,,,,,,,,,,,FALSE,,,,,
F-12506/07,,,,,,,,,,,,,,,,FALSE,,,,,
F-20252/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-11455/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-3453/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-2459/04,,,,,,,,,,,,,,,,FALSE,,,,,
F-1284/03,,,,,,,,,,,,,,,,FALSE,,,,,
F-4075/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-1561/98,,,,,,,,,,,,,,,,FALSE,,,,,
F-3372/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-21330/19,,,,,,,,,,,,,,,,FALSE,,,,,
F-10189/01,,,,,,,,,,,,,,,,FALSE,,,,,
F-1251/13,,,,,,,,,,,,,,,,FALSE,,,,,
F-4153/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-4973/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-12539/07,,,,,,,,,,,,,,,,FALSE,,,,,
F-3768/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-4974/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-7247/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-3769/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-4975/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-3770/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-7334/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-5976/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-1438/98,,,,,,,,,,,,,,,,FALSE,,,,,
F-460/98,,,,,,,,,,,,,,,,FALSE,,,,,
F-14669/05,,,,,,,,,,,,,,,,FALSE,,,,,
F-12273/07,,,,,,,,,,,,,,,,FALSE,,,,,
F-16220/12,,,,,,,,,,,,,,,,FALSE,,,,,
F-16221/07,,,,,,,,,,,,,,,,FALSE,,,,,
F-18152/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-1669/98,,,,,,,,,,,,,,,,FALSE,,,,,
F-8005/01,,,,,,,,,,,,,,,,FALSE,,,,,
F-3765/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-1020/98,,,,,,,,,,,,,,,,FALSE,,,,,
F-4426/05,,,,,,,,,,,,,,,,FALSE,,,,,
F-14009/09,,,,,,,,,,,,,,,,FALSE,,,,,
F-7342/01,,,,,,,,,,,,,,,,FALSE,,,,,
F-7256/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-4328/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-8312/01,,,,,,,,,,,,,,,,FALSE,,,,,
N-9/06,,,,,,,,,,,,,,,,FALSE,,,,,
F-9243/06,,,,,,,,,,,,,,,,FALSE,,,,,
F-5399/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-5400/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-11448/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-4976/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-15066/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-347/98,,,,,,,,,,,,,,,,FALSE,,,,,
F-12193/02,,,,,,,,,,,,,,,,FALSE,,,,,
F-8849/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-11450/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-4977/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-11449/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-7591/06,,,,,,,,,,,,,,,,FALSE,,,,,
F-12778/08,,,,,,,,,,,,,,,,FALSE,,,,,
F-7961/01,,,,,,,,,,,,,,,,FALSE,,,,,
F-37/02,,,,,,,,,,,,,,,,FALSE,,,,,
N-206/02,,,,,,,,,,,,,,,,FALSE,,,,,
F-17939/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-6451/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-17974/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-11183/11,,,,,,,,,,,,,,,,FALSE,,,,,
H-905/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-6214/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-6215/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-1714/04,,,,,,,,,,,,,,,,FALSE,,,,,
H-1019/11,,,,,,,,,,,,,,,,FALSE,,,,,
N-554/15,,,,,,,,,,,,,,,,FALSE,,,,,
N-514/09,,,,,,,,,,,,,,,,FALSE,,,,,
N-515/14,,,,,,,,,,,,,,,,FALSE,,,,,
N-447/12,,,,,,,,,,,,,,,,FALSE,,,,,
N-400/15,,,,,,,,,,,,,,,,FALSE,,,,,
N-338/14,,,,,,,,,,,,,,,,FALSE,,,,,
N-518/15,,,,,,,,,,,,,,,,FALSE,,,,,
N-371/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-11381/01,,,,,,,,,,,,,,,,FALSE,,,,,
F-5817/10,,,,,,,,,,,,,,,,FALSE,,,,,
H-1017/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-5722/05,,,,,,,,,,,,,,,,FALSE,,,,,
F-11187/01,,,,,,,,,,,,,,,,FALSE,,,,,
F-2307/99,,,,,,,,,,,,,,,,FALSE,,,,,
F-1310/08,,,,,,,,,,,,,,,,FALSE,,,,,
F-15280/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-2308/99,,,,,,,,,,,,,,,,FALSE,,,,,
H-353/99,,,,,,,,,,,,,,,,FALSE,,,,,
F-5825/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-15984/07,,,,,,,,,,,,,,,,FALSE,,,,,
F-15983/07,,,,,,,,,,,,,,,,FALSE,,,,,
F-3216/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-6851/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-7260/05,,,,,,,,,,,,,,,,FALSE,,,,,
F-9350/06,,,,,,,,,,,,,,,,FALSE,,,,,
F-18284/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-16719/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-12387/12,,,,,,,,,,,,,,,,FALSE,,,,,
F-15578/11,,,,,,,,,,,,,,,,FALSE,,,,,
F-16720/18,,,,,,,,,,,,,,,,FALSE,,,,,
F-18285/15,,,,,,,,,,,,,,,,FALSE,,,,,
F-9299/06,,,,,,,,,,,,,,,,FALSE,,,,,
F-7261/05,,,,,,,,,,,,,,,,FALSE,,,,,
F-6852/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-11596/01,,,,,,,,,,,,,,,,FALSE,,,,,
B-122/98,,,,,,,,,,,,,,,,FALSE,,,,,
F-1775/14,,,,,,,,,,,,,,,,FALSE,,,,,
F-22937/16,,,,,,,,,,,,,,,,FALSE,,,,,
F-2775/14,,,,,,,,,,,,,,,,FALSE,,,,,
F-3459/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-9152/01,,,,,,,,,,,,,,,,FALSE,,,,,
F-5987/00,,,,,,,,,,,,,,,,FALSE,,,,,
F-799/98,,,,,,,,,,,,,,,,FALSE,,,,,
F-4333/10,,,,,,,,,,,,,,,,FALSE,,,,,
F-4334/10,,,,,,,,,,,,,,,,FALSE,,,,,
B-2429/19,,,,,,,,,,,,,,,,FALSE,,,,,
N-533/14,,,,,,,,,,,,,,,,FALSE,,,,,
N-75/11,,,,,,,,,,,,,,,,FALSE,,,,,
