Registro,Nombre,Referencia de Tramite,Equivalencia Terapéutica o Biosimilar,Titular,Estado del Registro,Resolución Inscríbase,Fecha Inscríbase,Ultima Renovación,Fecha Próxima renovación,Régimen,Vía Administración,Condición de Venta,Expende tipo establecimiento,Indicación,Fecha Próxima Renovación,Procesado,,,,,
F-20455/23,ACECNOU GRÁNULOS PARA SOLUCIÓN ORAL 3 g,,,,,,,,,,,,,,,,,,,,
F-18823/21,ACEMUK POLVO PARA JARABE 100 mg/5 mL,RF244255,,DEUTSCHE PHARMA S.A.,Vigente,15240,2/9/2011,N/A,,Importado Terminado con Reacondicionamiento Local,ORAL,Receta Simple,N/A,Para fluidificar las secreciones en enfermedades respiratorias que cursan con un aumento en volumen y viscosidad del mucus que dificultan la eliminación.,1/9/2026,TRUE,,,,,
F-10965/21,ACERDIL - D 20/12,,,,,,,,,,,,,,,,,,,,
F-5654/20,ACERDIL COMPRIMIDOS 10 mg,,EQUIVALENTE TERAPÉUTICO,LABORATORIOS RECALCINE S.A.,Vigente,9592,26-09-1988,N/A,,Fabricación Nacional,ORAL,Receta Simple,N/A,#�NOMBRE?,25-09-2025,TRUE,,,,,
F-5655/20,ACERDIL COMPRIMIDOS 20 mg,,,LABORATORIOS RECALCINE S.A.,Vigente,9591,26-09-1988,N/A,,Fabricación Nacional,ORAL,Receta Simple,N/A,Antihipertensivos.,25-09-2025,TRUE,,,,,
F-5656/20,ACERDIL COMPRIMIDOS 5 mg,,,LABORATORIOS RECALCINE S.A.,Vigente,9596,26-09-1988,N/A,,Fabricación Nacional,ORAL,Receta Simple,N/A,Antihipertensivo.,25-09-2025,TRUE,,,,,
F-25936/21,ACETATO DE CALCIO COMPRIMIDOS 667 mg,RF1463564,,ZERICUM S.p.A.,Vigente,1344,18-01-2021,N/A,,Importado Terminado con Reacondicionamiento Local,ORAL,Receta Simple,N/A,Está indicado en el control de la hiperfosfatemia en pacientes con insuficiencia renal crónica sometidos a diálisis.,18-01-2026,TRUE,,,,,
F-27344/23,ACETATO DE CALCIO COMPRIMIDOS 667 mg,RF1942535,,MDC HEALTH S.p.A.,Vigente,3821,16-02-2023,N/A,,Importado Terminado con Reacondicionamiento Local,ORAL,Receta Simple,N/A,Está indicado en el control de la hiperfosfatemia en pacientes con insuficiencia renal crónica sometidos a diálisis.,16-02-2028,TRUE,,,,,
F-6134/20,ACETATO DE SODIO TRIHIDRATO SOLUCIÓN INYECTABLE 30%,,,LABORATORIO SANDERSON S.A.,Vigente,990,18-02-1983,N/A,,Fabricación Nacional,PARENTERAL,Receta Simple,N/A,Como fuente de sodio por Ia adición a fluidos intravenosos de gran volumen para prevenir o corregir Ia hiponatremia en pacientes sin ingesta oral de sodio,,,,,,,
F-7494/21,ACETAZOLAMIDA COMPRIMIDOS 250 mg,,,BPH S.A.,Vigente,2281,23-03-2001,N/A,,Importado Terminado con Reacondicionamiento Local,ORAL,Receta Simple,N/A,Esta indicada en conjunto con otros agentes en el tratamiento de los glaucomas de ángulo abierto,,,,,,,
F-983/23,ACETAZOLAMIDA COMPRIMIDOS 250 mg,,EQUIVALENTE TERAPÉUTICO,LABORATORIO CHILE S.A.,Vigente,716,8/5/1969,N/A,,Fabricación Nacional,ORAL,Receta Simple,N/A,-,8/5/2028,TRUE,,,,,
F-4329/20,ACETAZOLAMIDA COMPRIMIDOS 250 mg,,,MINTLAB Co. S.A.,Vigente,3912,28-06-2000,N/A,,Fabricación Nacional,ORAL,Receta Simple,N/A,Glaucoma de angulo abierto,,,,,,,
F-26515/21,ACETAZOLAMIDA COMPRIMIDOS 250 mg,RF1680887,EQUIVALENTE TERAPÉUTICO,ASCEND LABORATORIES S.p.A.,Vigente,31994,30-11-2021,N/A,,Importado Terminado con Reacondicionamiento Local,ORAL,Receta Simple,N/A,Esta indicada en la reducción de la presión intraocular en la prevención o tratamiento del glaucoma de ángulo abierto o glaucoma secundario. Diuresis. Alcalinización de la orina. Manejo de edemas secundarios a enfermedad cardíaca congestiva o terapias con fármacos. Epilepsia tipo ausencias (Petit Mal). Prevención del mal de alturas.,30-11-2026,TRUE,,,,,
F-10966/21,ACEVIT FLUOR SOLUCIÓN PARA GOTAS ORALES,4700/89,,LABORATORIOS LAFI LTDA.,Vigente,2785,13-03-1990,N/A,,Fabricación Nacional,ORAL,Receta Simple,N/A,-,13-03-2026,TRUE,,,,,
F-5778/20,ACEVIT SOLUCIÓN PARA GOTAS ORALES,,,LABORATORIOS LAFI LTDA.,Vigente,11991,28-11-1988,N/A,,Fabricación Nacional,Oral,Receta Simple,N/A,Deficiencia de vitaminas.,28-11-2025,TRUE,,,,,
F-9863/21,ACICLOVIR COMPRIMIDOS 200 mg,,EQUIVALENTE TERAPÉUTICO,MINTLAB Co. S.A.,Vigente,2839,17-02-1995,N/A,,Fabricación Nacional,ORAL,Receta Simple,N/A,Tratamiento de elección en el manejo del herpes genital en los primeros episodios o en el manejo de episodios recurrentes en algunos pacientes. También se utiliza en el tratamiento del herpes zoster y en el tratamiento de infecciones por varicela zoster en pacientes adultos y en niños mayores de dos años. Se utiliza además en prevención de infecciones por virus Herpes simplex en pacientes inmunocomprometidos y en pacientes que presentan más de 6 recidivas al año.,17-02-2026,TRUE,,,,,
F-8516/21,ACICLOVIR COMPRIMIDOS 200 mg,,EQUIVALENTE TERAPÉUTICO - REFERENTE,LABORATORIO CHILE S.A.,Vigente,82,8/1/1997,N/A,,Fabricación Nacional,ORAL,Receta Simple,N/A,Tratamiento de infecciones virales dermatologicas por Herpes Simple (HSV). Tratamiento de Herpes genital en el episodio inicial. Manejo de episodios recurrentes. Profilaxis de infección por Virus Herpes Simple en individuos inmunodeprimidos (receptores de trasplantes,,,,,,,
F-8518/21,ACICLOVIR COMPRIMIDOS 400 mg,,EQUIVALENTE TERAPÉUTICO - REFERENTE,LABORATORIO CHILE S.A.,Vigente,13175,8/11/1991,N/A,,Fabricación Nacional,ORAL,Receta Simple,N/A,Tratamiento de infecciones por herpes simplex tipo I y II (mucocutáneo y genital) y herpes zoster. Tratamiento de infecciones por varicela zoster en pacientes no inmunocomprometidos. Profilaxis en pacientes inmunocomprometidos.,8/11/2026,TRUE,,,,,
F-26680/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-13105/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-22710/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-22712/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-7869/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-8703/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-9864/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-3865/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-24737/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-21826/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-27683/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-27027/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-20822/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-23793/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-23584/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-25446/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-26809/22,,,,,,,,,,,,,,,,FALSE,,,,,
